id_cliente,avaliacao,cnpj_cpf,estado_civil,historico_cliente,historico_negociacao,Hist?ico de Renegocia?es,Risco Produtivo, Patrimonio Total,Valor Solicitado,Prazo de Duração,Divida Inc,Área Produtiva,Área Total,Numero Propriedades,Capacidade Armazenamento,Taxa Arrendamento,Hectare Arrendado,Área não Produtiva,Tempo Experiencia,Hectare Propriedade,UF,CIDADE,DT_NASCIMENTO,RESTRICAO,IRRIGACAO,TEMP_EXPERIENCIA,CLIENTE_DESDE, VALOR_SEGURO
1002,Preencher,10.400.431/0001-07,casado,3 anos,sim,sim,Baixo,"  20.162.089,00 ","46.800.154,00",19,0.667478007993919,172,184,6,480,,nan,52,6,213,BA,SORRISO,1986.07.03,S,N,,2011.12.21,
1003,Preencher,85.563.842/0001-04,solteiro,4 anos,não,não,Alto,"  50.162.089,00 ","46.800.155,00",21,0.667478007993919,169,182,4,552,0.7166526541662,38.0,43,18,260,BA,FLORIANOPOLIS,1967.07.02,N,N,,2011.12.21,"  59.338.266,00 "
1004,Preencher,99.478.316/0001-50,divorciado ,5 anos,algumas vezes,algumas vezes,Baixo,"  601.620.122,00 ","80.374.361,00",14,0.667478007993919,92,113,3,596,,nan,47,9,166,PR,FAGUNDES VARELA,1967.07.01,N,N,,2011.12.21,"  50.048.259,00 "
1005,Preencher,10.400.431/0001-10,divorciado ,1 ano,algumas vezes,algumas vezes,Alto,"  90.152.091,00 ","80.374.362,00",20,0.667478007993919,180,122,4,525,0.527166526541662,49.0,,21,211,MT,MARACAJU,1967.07.00,N,N,,2011.12.21,"  67.349.102,00 "
1006,Preencher,10.400.431/0001-11,solteiro,2 anos,não,não,medio,"  76.858.110,00 ","58.410.991,00",22,0.667478007993919,154,110,2,512,0.527166526541662,31.0,45,16,215,SP,SANTANA DE PARNAIBA,1967.07.01,S,N,,2011.12.21,
1007,Preencher,32.712.726/0001-43,solteiro,3 anos,sim,sim,Baixo,"  86.858.111,00 ","198.703.436,00",13,0.667478007993919,196,225,5,458,0.5166526541662,38.0,49,10,110,SP,SAO PAULO,1967.07.02,S,N,,2011.12.21,
1008,Preencher,10.400.431/0001-13,casado,4 anos,não,não,medio,"  7.774.175.096,00 ","195.594.368,00",22,0.0597921346535536,178,207,5,576,0.527166526541662,48.0,38,9,128,MG,SANTA JULIANA,1967.07.03,N,N,,2011.12.21,"  77.452.772,00 "
1009,Preencher,10.400.431/0001-14,solteiro,5 anos,não,não,medio,"  46.040.355,00 ","44.108.628,00",12,0.667478007993919,139,179,2,448,0.527166526541662,nan,40,24,128,SP,SAO PAULO,1967.07.04,S,N,,2011.12.21,"  89.339.292,00 "
1010,Preencher,10.400.431/0001-15,divorciado ,3 anos,algumas vezes,algumas vezes,medio,"  75.385.112,00 ","317.801.984,00",15,0.12033494919175503,146,204,3,498,0.527166526541662,41.0,43,6,150,SP,MARACAI,1967.07.05,N,N,,2011.12.21,"  59.364.218,00 "
1011,Preencher,349.733.380-87,divorciado ,5 anos,sim,sim,Baixo,"  38.202.563,08 ","317.801.985,00",19,0.4952810212394053,177,292,1,394,0.527166526541662,,,26,221,BA,CASCAVEL,1967.07.06,N,N,,2011.12.21,"  54.692.895,00 "
1012,Preencher,007.984.020-59,solteiro,5 anos,sim,sim,medio,"  38.506.959,91 ","317.801.986,00",21,0.7303729983371575,113,274,3,392,,,46,,238,SC,ARAQUARI,1967.07.07,N,N,,2011.12.21,"  49.119.063,00 "
1013,Preencher,03.400.431/0001-17,solteiro,5 anos,algumas vezes,algumas vezes,Baixo,"  39.045.196,01 ","317.801.987,00",14,0.8642385261028837,129,250,7,558,,,38,15,171,BA,FORMOSA DO RIO PRETO,1988.01.07,N,N,,2011.12.21,"  57.529.343,00 "
1014,Preencher,03.400.431/0001-18,divorciado ,1 ano,sim,sim,Baixo,"  39.038.579,54 ","317.801.988,00",20,0.41561956707485903,180,224,6,578,0.7166526541662,,44,13,167,MG,UBERABA,1988.01.08,N,N,,2011.12.21,"  57.485.853,00 "
1015,Preencher,00.321.387/0001-88,divorciado ,3 anos,algumas vezes,algumas vezes,Baixo,"  40.393.176,25 ","317.801.989,00",22,0.0597921346535536,178,256,8,417,0.527166526541662,,41,11,180,BA,SAO DESIDERIO,1973.04.21,N,N,,2011.12.21,"  68.104.390,00 "
1016,Preencher,790.133.480-09,divorciado ,1 ano,não,não,Baixo,"  40.404.793,50 ","317.801.990,00",13,0.667478007993919,107,216,3,420,0.527166526541662,,48,19,217,MT,NOVA MUTUM,1973.04.22,N,N,,2011.12.21,"  47.462.672,00 "
1017,Preencher,47.400.431/0001-15,divorciado ,5 anos,algumas vezes,algumas vezes,Baixo,"  39.871.319,89 ","317.801.991,00",22,0.667478007993919,155,290,4,495,0.527166526541662,,46,1,194,MT,SORRISO,1973.04.23,N,N,,2011.12.21,"  68.085.439,00 "
1018,Preencher,34.318.480/0001-55,divorciado ,6 anos,algumas vezes,sim,medio,"  41.645.752,37 ","317.801.992,00",12,0.667478007993919,96,234,3,544,0.527166526541662,,46,17,118,SC,FLORIANOPOLIS,1973.04.24,N,N,,2011.12.21,"  58.759.240,00 "
1019,Preencher,47.400.431/0001-17,casado,7 anos,não,não,Baixo,"  41.162.667,33 ","108.703.436,00",15,0.667478007993919,156,268,4,595,,,39,3,208,RS,FAGUNDES VARELA,1973.04.25,N,N,,2011.12.21,"  77.463.788,00 "
